Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Value,Flag,FlagD
"TP","Crops and livestock products","351","China","5610","Import Quantity","667","Tea","2000","30903.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5610","Import Quantity","667","Tea","2001","33218.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5610","Import Quantity","667","Tea","2002","32473.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5610","Import Quantity","667","Tea","2003","34476.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5610","Import Quantity","667","Tea","2004","34639.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5610","Import Quantity","667","Tea","2005","36025.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5610","Import Quantity","667","Tea","2006","41298.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5610","Import Quantity","667","Tea","2007","41197.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5610","Import Quantity","667","Tea","2008","21822.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5610","Import Quantity","667","Tea","2009","43376.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5610","Import Quantity","667","Tea","2010","56442.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5610","Import Quantity","667","Tea","2011","55912.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5610","Import Quantity","667","Tea","2012","61416.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5610","Import Quantity","667","Tea","2013","62453.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5910","Export Quantity","667","Tea","1961","49095.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5910","Export Quantity","667","Tea","1962","42597.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5910","Export Quantity","667","Tea","1963","44155.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5910","Export Quantity","667","Tea","1964","46194.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5910","Export Quantity","667","Tea","1965","56699.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5910","Export Quantity","667","Tea","1966","53413.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5910","Export Quantity","667","Tea","1967","51740.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
